ANO,PAIS,CIDADE_SEDE,DATA_INICIO,DATA_ENCERRAMENTO
2.000,Austrália,Sydney,2000-09-15,2000-10-01
2.004,Grécia,Atenas,2004-08-13,2004-08-29
2.008,China,Pequim,2008-08-08,2008-08-24
2.012,Reino Unido,Londres,2012-07-27,2012-08-12
2.016,Brasil,Rio de Janeiro,2016-08-05,2016-08-21
2.020,Japão,Tóquio,2021-07-23,2021-08-08
